,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Stanford,32.4,0-0,0-0,0-0,1,19,2,2017,9
1,2,Alabama,30.1,1-0,0-0,0-0,1,16,1,2017,9
2,3,Michigan,21.0,0-0,0-0,0-0,3,42,3,2017,9
3,4,S Carolina,18.2,0-0,0-0,0-0,4,70,5,2017,9
4,5,Colorado,17.1,0-0,0-0,0-0,2,43,6,2017,9
5,6,Oklahoma,16.9,1-0,0-0,0-0,4,31,7,2017,9
6,7,LSU,15.8,0-0,0-0,0-0,3,25,4,2017,9
7,8,VA Tech,15.7,0-0,1-0,0-0,6,56,8,2017,9
8,9,Florida St,15.4,0-1,0-0,0-0,3,24,9,2017,9
9,10,Texas,15.3,0-1,0-0,0-0,5,82,10,2017,9
10,11,Louisville,11.7,0-0,1-0,0-0,8,31,11,2017,9
11,12,Tennessee,11.0,0-0,0-0,0-0,10,58,12,2017,9
12,13,W Virginia,8.5,0-1,0-0,0-0,12,125,15,2017,9
13,14,Texas A&M,6.5,0-0,1-0,0-0,9,55,13,2017,9
14,15,Arkansas,4.0,0-0,0-1,0-0,2,49,14,2017,9
15,16,Purdue,2.4,0-0,0-1,0-0,9,95,16,2017,9
16,17,Ohio State,--,0-0,0-0,0-0,2,23,17,2017,9
17,18,Georgia,--,0-0,0-0,0-0,1,41,18,2017,9
18,19,TX Christian,--,0-0,0-0,0-0,17,116,19,2017,9
19,20,Notre Dame,--,0-0,0-0,0-0,19,60,22,2017,9
20,21,Iowa State,--,0-0,0-0,0-0,21,85,23,2017,9
21,22,Miami (FL),--,0-0,0-0,0-0,17,121,21,2017,9
22,23,Oklahoma St,--,0-0,0-0,0-0,5,44,20,2017,9
23,24,Clemson,--,0-0,0-0,0-0,1,54,27,2017,9
24,25,Wisconsin,--,0-0,0-0,0-0,6,58,25,2017,9
25,26,Auburn,--,0-0,0-0,0-0,7,48,28,2017,9
26,27,Penn State,--,0-0,0-0,0-0,9,64,26,2017,9
27,28,Central FL,--,0-0,0-0,0-0,7,68,24,2017,9
28,29,Washington,--,0-0,0-0,0-0,6,55,29,2017,9
29,30,San Diego St,--,0-0,0-0,0-0,30,110,32,2017,9
30,31,Virginia,--,0-0,0-0,0-0,25,86,30,2017,9
31,32,Michigan St,--,0-0,0-0,0-0,5,71,33,2017,9
32,33,Boise State,--,0-0,0-0,0-0,11,53,34,2017,9
33,34,Arizona St,--,0-0,0-0,0-0,32,116,45,2017,9
34,35,Boston Col,--,0-0,0-0,0-0,8,72,50,2017,9
35,36,Texas Tech,--,0-0,0-0,0-0,13,68,36,2017,9
36,37,Navy,--,0-0,0-0,0-0,5,116,37,2017,9
37,38,Arizona,--,0-0,0-0,0-0,22,69,31,2017,9
38,39,Wake Forest,--,0-0,0-0,0-0,8,63,35,2017,9
39,40,Memphis,--,0-0,0-0,0-0,35,111,46,2017,9
40,41,Utah,--,0-0,0-0,0-0,8,113,40,2017,9
41,42,Minnesota,--,0-0,0-0,0-0,22,112,42,2017,9
42,43,Iowa,--,0-0,0-0,0-0,22,58,43,2017,9
43,44,Nebraska,--,0-0,0-0,0-0,40,67,47,2017,9
44,45,Syracuse,--,0-0,0-0,0-0,14,74,54,2017,9
45,46,Indiana,--,0-0,0-0,0-0,28,110,41,2017,9
46,47,Pittsburgh,--,0-0,0-0,0-0,40,93,60,2017,9
