,Rank,Team,2010,Last 3,Last 1,Home,Away,2009,Season,Week
0,,Oregon,53.5,47.3,52.0,62.0,45.0,36.1,2010,6
1,,Oklahoma St,52.3,48.0,38.0,52.3,--,26.1,2010,6
2,,Nebraska,47.7,47.7,56.0,43.5,56.0,25.1,2010,6
3,,Boise State,45.0,49.0,59.0,37.0,47.7,42.8,2010,6
4,,Utah,44.3,50.0,56.0,40.3,56.0,29.8,2010,6
5,,Ohio State,44.2,46.7,24.0,49.3,24.0,29.0,2010,6
6,,Nevada,43.5,41.0,44.0,51.5,35.5,38.2,2010,6
7,,Stanford,42.8,45.3,31.0,68.0,34.3,35.5,2010,6
8,,Michigan,41.3,45.0,42.0,47.5,35.0,26.5,2010,6
9,,Tulsa,39.5,36.3,48.0,33.0,41.7,26.8,2010,6
10,,Alabama,37.8,39.0,31.0,34.3,43.0,31.1,2010,6
11,,Texas A&M,36.7,36.7,35.0,37.5,35.0,32.8,2010,6
12,,Auburn,36.6,38.0,52.0,41.5,17.0,30.8,2010,6
13,,Kentucky,36.4,32.0,35.0,55.0,24.0,25.2,2010,6
14,,Houston,36.3,36.3,42.0,48.0,13.0,41.2,2010,6
15,,E Carolina,36.0,31.0,17.0,50.0,22.0,26.8,2010,6
16,,Indiana,36.0,36.0,35.0,35.0,38.0,23.9,2010,6
17,,USC,35.8,37.7,31.0,24.0,43.7,26.5,2010,6
18,,TX Christian,35.8,37.7,27.0,45.0,32.7,36.8,2010,6
19,,Fresno St,35.7,35.7,38.0,28.0,39.5,32.4,2010,6
20,,San Diego St,35.3,35.3,41.0,41.0,32.5,22.3,2010,6
21,,Texas Tech,34.8,34.7,38.0,24.5,45.0,36.9,2010,6
22,,VA Tech,34.8,36.3,41.0,49.0,30.0,31.8,2010,6
23,,Mississippi,34.5,37.0,42.0,37.0,27.0,26.7,2010,6
24,,Michigan St,34.0,32.7,34.0,35.3,30.0,28.5,2010,6
25,,Troy,34.0,35.3,35.0,32.5,35.5,33.7,2010,6
26,,Missouri,33.7,33.7,51.0,39.0,23.0,27.1,2010,6
27,,NC State,33.3,35.0,30.0,30.0,36.5,25.4,2010,6
28,,Oklahoma,32.8,28.7,28.0,35.0,29.5,28.3,2010,6
29,,Iowa,32.8,32.0,24.0,34.7,27.0,23.7,2010,6
30,,Baylor,32.3,31.7,55.0,44.5,20.0,16.5,2010,6
31,,Florida,31.4,28.3,6.0,40.0,18.5,33.8,2010,6
32,,S Methodist,31.2,33.7,42.0,29.0,34.5,29.1,2010,6
33,,California,30.7,30.7,9.0,52.0,20.0,26.6,2010,6
34,,Army,30.6,31.3,35.0,29.0,33.0,14.7,2010,6
35,,Hawaii,30.3,28.3,41.0,38.5,22.0,22.6,2010,6
36,,TX El Paso,30.0,32.0,38.0,29.0,31.0,29.8,2010,6
37,,N Illinois,29.0,35.3,50.0,--,29.0,27.6,2010,6
38,,Florida St,29.0,33.0,34.0,32.5,25.5,31.0,2010,6
39,,Idaho,28.5,32.3,33.0,30.0,28.0,32.7,2010,6
40,,S Carolina,28.3,28.3,27.0,29.0,27.0,19.2,2010,6
41,,Arizona,28.3,28.3,10.0,22.0,41.0,26.8,2010,6
42,,Miami (FL),28.3,28.3,30.0,--,28.3,28.8,2010,6
43,,Wisconsin,28.0,23.7,24.0,23.5,32.5,30.8,2010,6
44,,Northwestern,28.0,29.7,29.0,30.0,27.3,24.2,2010,6
45,,Washington,27.8,31.3,32.0,31.0,24.5,26.1,2010,6
46,,Connecticut,27.8,33.7,40.0,42.5,13.0,29.4,2010,6
47,,Oregon St,27.8,30.0,31.0,33.0,22.5,31.3,2010,6
48,,Bowling Grn,27.6,30.3,26.0,35.0,22.7,28.5,2010,6
49,,Arkansas,27.3,27.3,20.0,20.0,31.0,35.0,2010,6
50,,Arkansas St,27.2,28.7,24.0,29.0,26.0,19.2,2010,6
51,,GA Tech,26.8,27.3,24.0,28.0,26.3,33.5,2010,6
52,,N Carolina,26.8,27.7,42.0,33.0,20.5,20.6,2010,6
53,,Clemson,26.7,26.7,21.0,28.0,24.0,29.8,2010,6
54,,Iowa State,26.5,26.3,52.0,39.5,13.5,19.4,2010,6
55,,Louisville,26.0,26.0,34.0,16.0,31.0,17.0,2010,6
56,,Central Mich,26.0,31.3,17.0,17.0,29.0,32.8,2010,6
57,,Arizona St,26.0,26.0,28.0,31.0,23.5,19.8,2010,6
58,,UCLA,25.8,35.7,42.0,24.3,28.0,22.0,2010,6
59,,UAB,25.3,23.3,29.0,32.5,18.0,27.8,2010,6
60,,Kansas St,25.0,25.0,17.0,24.0,27.0,20.6,2010,6
61,,Texas,24.8,18.7,20.0,23.0,26.0,39.3,2010,6
62,,Georgia,24.8,21.0,27.0,39.5,15.0,28.2,2010,6
63,,Notre Dame,24.6,25.3,31.0,20.3,31.0,30.1,2010,6
64,,Temple,24.5,28.3,42.0,21.5,27.5,30.0,2010,6
65,,Syracuse,24.5,24.5,20.0,--,24.5,19.4,2010,6
66,,Duke,24.5,16.7,16.0,17.0,32.0,23.7,2010,6
67,,S Mississippi,24.5,28.3,41.0,36.0,13.0,31.3,2010,6
68,,Wake Forest,24.5,14.7,20.0,37.0,12.0,25.5,2010,6
69,,LSU,24.4,21.7,16.0,21.7,28.5,24.8,2010,6
70,,Maryland,24.3,26.7,21.0,31.5,17.0,19.8,2010,6
71,,Minnesota,24.0,24.0,28.0,24.0,24.0,21.3,2010,6
72,,Pittsburgh,23.7,23.7,44.0,23.5,24.0,31.6,2010,6
73,,Miss State,23.5,15.0,24.0,29.0,7.0,23.8,2010,6
74,,Air Force,23.3,19.3,14.0,24.5,22.0,26.2,2010,6
75,,Kansas,23.3,21.7,7.0,35.0,11.5,27.6,2010,6
76,,S Florida,23.0,23.0,31.0,27.5,14.0,22.3,2010,6
77,,W Virginia,23.0,23.0,14.0,31.0,19.0,25.6,2010,6
78,,Colorado,22.8,22.3,29.0,30.0,15.5,22.3,2010,6
79,,Middle Tenn,22.7,22.7,34.0,17.0,25.5,32.0,2010,6
80,,Miami (OH),22.2,23.7,27.0,28.7,12.5,15.6,2010,6
81,,UNLV,21.8,26.0,26.0,30.7,8.5,23.6,2010,6
82,,Utah State,21.5,20.7,31.0,27.5,15.5,26.9,2010,6
83,,Rice,21.2,19.0,31.0,19.0,24.5,18.3,2010,6
84,,Toledo,21.0,27.7,15.0,8.5,29.3,29.7,2010,6
85,,Cincinnati,20.7,20.7,29.0,29.0,16.5,36.0,2010,6
86,,Wash State,20.5,21.7,28.0,16.0,22.0,12.0,2010,6
87,,LA Lafayette,20.0,24.3,28.0,22.5,17.5,20.4,2010,6
88,,E Michigan,19.8,17.0,17.0,19.3,20.5,16.4,2010,6
89,,Florida Intl,19.8,21.7,17.0,14.0,21.7,22.9,2010,6
90,,Central FL,19.3,19.3,13.0,21.0,18.5,26.0,2010,6
91,,Marshall,19.2,22.7,16.0,22.5,17.0,21.0,2010,6
92,,Navy,19.0,19.0,6.0,--,19.0,27.5,2010,6
93,,Tennessee,19.0,21.0,14.0,20.7,14.0,29.3,2010,6
94,,Purdue,18.7,18.7,20.0,22.0,12.0,27.8,2010,6
95,,Ohio,18.3,20.0,30.0,13.0,20.0,24.5,2010,6
96,,Vanderbilt,18.3,17.3,21.0,12.0,24.5,13.7,2010,6
97,,Illinois,18.0,18.0,13.0,20.5,13.0,22.3,2010,6
98,,LA Tech,18.0,18.7,21.0,17.5,18.5,27.5,2010,6
99,,North Texas,17.8,16.0,27.0,29.0,10.3,26.6,2010,6
100,,W Kentucky,17.8,20.3,12.0,21.0,16.7,21.6,2010,6
101,,Tulane,17.7,17.7,17.0,13.0,20.0,13.7,2010,6
102,,Fla Atlantic,17.3,12.3,3.0,17.0,17.3,27.4,2010,6
103,,W Michigan,17.0,17.0,13.0,18.5,14.0,24.7,2010,6
104,,Buffalo,16.3,19.7,28.0,10.0,18.3,22.6,2010,6
105,,Memphis,15.6,14.7,7.0,15.5,15.7,20.1,2010,6
106,,Rutgers,15.3,15.3,14.0,13.5,19.0,26.2,2010,6
107,,BYU,15.2,13.0,16.0,18.0,13.3,35.5,2010,6
108,,Ball State,14.7,14.7,31.0,--,14.7,19.5,2010,6
109,,Virginia,14.0,14.0,14.0,14.0,14.0,19.8,2010,6
110,,Penn State,13.0,16.3,3.0,23.0,3.0,26.9,2010,6
111,,Boston Col,13.0,13.0,13.0,13.0,--,22.3,2010,6
112,,New Mexico,12.2,14.7,20.0,17.0,5.0,16.3,2010,6
113,,Akron,11.8,14.7,14.0,8.5,15.0,17.3,2010,6
114,,N Mex State,11.8,8.7,0.0,10.5,13.0,10.7,2010,6
115,,Wyoming,11.8,13.3,20.0,10.0,13.5,17.4,2010,6
116,,Kent State,11.3,11.3,21.0,--,11.3,19.4,2010,6
117,,Colorado St,11.0,15.3,0.0,18.0,6.3,21.5,2010,6
118,,LA Monroe,10.0,10.0,3.0,7.0,11.5,22.6,2010,6
119,,San Jose St,6.7,6.7,3.0,--,6.7,13.3,2010,6
