,Rank,Team,2010,Last 3,Last 1,Home,Away,2009,Season,Week
0,,Oregon,52.9,55.3,53.0,59.3,46.5,36.1,2010,11
1,,Boise State,47.0,46.3,42.0,46.3,47.8,42.8,2010,11
2,,Oklahoma St,46.3,40.0,55.0,50.8,37.3,26.1,2010,11
3,,Nevada,43.6,46.7,63.0,48.5,38.8,38.2,2010,11
4,,Ohio State,42.0,39.7,52.0,47.3,31.3,29.0,2010,11
5,,Stanford,41.1,40.3,42.0,46.3,36.0,35.5,2010,11
6,,Utah,41.0,31.3,7.0,37.4,45.5,29.8,2010,11
7,,Tulsa,40.0,48.0,64.0,49.7,34.2,26.8,2010,11
8,,Auburn,40.0,46.7,51.0,42.5,35.0,30.8,2010,11
9,,Nebraska,39.6,37.7,31.0,32.8,46.5,25.1,2010,11
10,,TX Christian,39.1,44.3,47.0,39.8,38.6,36.8,2010,11
11,,VA Tech,38.5,41.3,28.0,43.6,30.0,31.8,2010,11
12,,Michigan,38.5,42.0,67.0,41.4,33.7,26.5,2010,11
13,,Houston,37.3,44.7,33.0,38.3,36.3,41.2,2010,11
14,,USC,36.4,38.0,34.0,32.4,41.5,26.5,2010,11
15,,E Carolina,36.4,35.7,35.0,41.0,30.8,26.8,2010,11
16,,Arkansas,34.6,42.7,41.0,35.7,34.0,35.0,2010,11
17,,S Mississippi,34.6,45.3,46.0,41.0,28.3,31.3,2010,11
18,,Fresno St,34.3,35.3,40.0,29.3,38.0,32.4,2010,11
19,,Oklahoma,33.9,29.7,19.0,40.0,26.3,28.3,2010,11
20,,Baylor,33.7,35.0,28.0,45.3,27.8,16.5,2010,11
21,,Central FL,33.1,43.3,40.0,38.3,28.0,26.0,2010,11
22,,Troy,33.0,28.7,41.0,32.0,33.6,33.7,2010,11
23,,Kentucky,32.8,26.3,17.0,41.2,22.3,25.2,2010,11
24,,Alabama,32.8,28.3,21.0,31.5,33.8,31.1,2010,11
25,,Hawaii,32.7,32.3,7.0,37.3,29.0,22.6,2010,11
26,,Texas A&M,32.4,41.0,33.0,32.4,32.3,32.8,2010,11
27,,San Diego St,32.0,34.0,24.0,30.7,32.8,22.3,2010,11
28,,Navy,31.9,47.3,76.0,29.5,32.7,27.5,2010,11
29,,Iowa,31.8,28.3,18.0,34.2,27.7,23.7,2010,11
30,,N Illinois,31.6,35.3,28.0,36.3,28.8,27.6,2010,11
31,,Georgia,31.4,39.3,31.0,40.8,24.0,28.2,2010,11
32,,Arkansas St,31.3,40.7,51.0,36.5,27.2,19.2,2010,11
33,,Florida,31.3,32.0,55.0,31.2,31.5,33.8,2010,11
34,,Wisconsin,31.1,32.0,34.0,29.8,32.5,30.8,2010,11
35,,Texas Tech,31.0,26.0,24.0,22.5,37.8,36.9,2010,11
36,,Mississippi,30.8,32.7,43.0,37.0,20.3,26.7,2010,11
37,,NC State,30.6,22.7,13.0,33.0,28.3,25.4,2010,11
38,,Illinois,30.6,50.7,65.0,32.0,29.3,22.3,2010,11
39,,Florida St,30.5,27.7,35.0,31.0,30.0,31.0,2010,11
40,,Kansas St,30.3,31.7,39.0,22.8,42.7,20.6,2010,11
