,Rank,Team,2010,Last 3,Last 1,Home,Away,2009,Season,Week
0,,Oregon,52.8,51.7,60.0,61.3,44.3,36.1,2010,9
1,,Oklahoma St,48.3,43.0,41.0,50.0,44.0,26.1,2010,9
2,,Utah,47.7,52.3,59.0,45.0,51.3,29.8,2010,9
3,,Boise State,47.5,54.7,48.0,47.0,47.8,42.8,2010,9
4,,Nebraska,42.5,37.3,51.0,33.3,51.7,25.1,2010,9
5,,Stanford,41.0,35.3,38.0,47.7,34.3,35.5,2010,9
6,,Ohio State,40.8,35.0,49.0,47.3,21.0,29.0,2010,9
7,,VA Tech,40.0,47.0,44.0,47.5,30.0,31.8,2010,9
8,,Auburn,38.6,42.0,24.0,42.5,27.0,30.8,2010,9
9,,Nevada,38.3,33.3,21.0,46.0,30.7,38.2,2010,9
10,,Tulsa,38.0,39.3,52.0,42.5,35.8,26.8,2010,9
11,,USC,37.4,38.0,48.0,32.0,41.5,26.5,2010,9
12,,E Carolina,36.9,38.0,37.0,42.5,29.3,26.8,2010,9
13,,TX Christian,36.7,38.0,38.0,39.8,32.7,36.8,2010,9
14,,Michigan,35.0,29.0,28.0,35.0,35.0,26.5,2010,9
15,,Baylor,35.0,38.7,47.0,45.3,27.3,16.5,2010,9
16,,Troy,34.8,36.0,31.0,32.0,37.7,33.7,2010,9
17,,Houston,34.8,33.3,45.0,40.0,29.7,41.2,2010,9
18,,Kentucky,34.8,32.0,31.0,41.2,24.0,25.2,2010,9
19,,Oklahoma,34.7,35.7,27.0,39.3,28.7,28.3,2010,9
20,,Hawaii,34.6,40.3,45.0,34.7,34.5,22.6,2010,9
21,,Alabama,34.3,28.3,41.0,31.5,37.0,31.1,2010,9
22,,NC State,34.0,33.7,27.0,34.7,33.3,25.4,2010,9
23,,Fresno St,33.3,31.0,33.0,29.3,37.3,32.4,2010,9
24,,Iowa,33.2,30.7,30.0,33.5,32.5,23.7,2010,9
25,,Michigan St,33.0,31.7,35.0,33.0,33.0,28.5,2010,9
26,,Texas Tech,32.6,29.7,27.0,22.0,40.5,36.9,2010,9
27,,Missouri,32.2,30.7,36.0,35.0,26.5,27.1,2010,9
28,,N Illinois,32.1,36.3,33.0,36.3,29.0,27.6,2010,9
29,,California,31.8,33.0,50.0,45.7,18.0,26.6,2010,9
30,,Georgia,31.5,42.7,44.0,40.8,22.3,28.2,2010,9
31,,Kansas St,31.5,38.0,42.0,20.3,42.7,20.6,2010,9
32,,Louisville,31.2,36.3,26.0,31.3,31.0,17.0,2010,9
33,,Arkansas,31.2,35.0,38.0,29.0,32.3,35.0,2010,9
34,,Idaho,31.0,35.0,37.0,33.5,29.8,32.7,2010,9
35,,Florida St,30.8,34.3,24.0,29.7,32.0,31.0,2010,9
36,,Wisconsin,30.7,34.3,31.0,29.8,32.0,30.8,2010,9
37,,San Diego St,30.7,26.0,30.0,34.0,29.0,22.3,2010,9
38,,Army,30.6,32.0,20.0,29.0,31.8,14.7,2010,9
39,,S Mississippi,30.3,41.7,41.0,38.3,22.3,31.3,2010,9
40,,Texas A&M,30.2,23.7,45.0,28.0,32.3,32.8,2010,9
41,,Arizona,30.0,31.7,44.0,28.8,32.5,26.8,2010,9
42,,Central FL,29.3,39.3,41.0,34.7,24.0,26.0,2010,9
43,,Oregon St,29.0,31.3,34.0,33.0,27.0,31.3,2010,9
44,,Pittsburgh,29.0,34.3,41.0,29.3,28.7,31.6,2010,9
45,,Arkansas St,28.9,31.7,37.0,31.7,27.2,19.2,2010,9
46,,Mississippi,28.7,25.3,24.0,37.0,20.3,26.7,2010,9
47,,W Michigan,28.7,40.3,56.0,18.5,33.8,24.7,2010,9
48,,Cincinnati,28.7,36.7,30.0,34.7,22.7,36.0,2010,9
49,,S Carolina,28.2,28.0,21.0,31.0,25.3,19.2,2010,9
50,,GA Tech,27.9,29.3,13.0,34.3,23.0,33.5,2010,9
51,,Indiana,27.8,19.7,13.0,35.3,20.3,23.9,2010,9
52,,TX El Paso,27.7,24.7,24.0,31.5,22.7,29.8,2010,9
53,,Ohio,27.7,40.3,34.0,33.3,23.5,24.5,2010,9
54,,Florida,27.6,14.0,7.0,31.2,18.5,33.8,2010,9
55,,S Methodist,27.3,20.7,20.0,25.6,30.0,29.1,2010,9
56,,Miami (FL),27.2,26.0,33.0,25.0,28.3,28.8,2010,9
57,,Temple,26.4,29.0,42.0,23.7,28.5,30.0,2010,9
58,,Northwestern,26.0,24.3,27.0,24.7,27.3,24.2,2010,9
59,,N Carolina,26.0,25.0,10.0,29.0,23.8,20.6,2010,9
60,,Notre Dame,25.9,28.0,17.0,25.6,26.3,30.1,2010,9
61,,Miss State,25.7,28.7,29.0,29.0,21.3,23.8,2010,9
62,,Clemson,25.7,24.7,27.0,28.5,20.0,29.8,2010,9
63,,W Virginia,25.3,27.7,14.0,28.5,19.0,25.6,2010,9
64,,W Kentucky,25.1,35.0,54.0,25.5,25.0,21.6,2010,9
65,,Washington,24.9,21.0,14.0,27.8,21.0,26.1,2010,9
66,,Air Force,24.9,27.0,7.0,32.7,19.0,26.2,2010,9
67,,Navy,24.7,30.3,35.0,28.0,24.0,27.5,2010,9
68,,LSU,24.6,22.0,17.0,21.7,26.8,24.8,2010,9
69,,Bowling Grn,24.5,19.3,6.0,25.3,24.0,28.5,2010,9
70,,Wake Forest,24.3,22.7,21.0,33.7,15.0,25.5,2010,9
71,,LA Tech,24.0,31.0,48.0,26.8,18.5,27.5,2010,9
72,,Arizona St,23.8,23.0,17.0,31.0,22.0,19.8,2010,9
73,,Texas,23.6,20.3,21.0,22.3,24.5,39.3,2010,9
74,,Florida Intl,23.5,26.3,34.0,21.0,24.8,22.9,2010,9
75,,Iowa State,23.0,18.3,28.0,35.3,13.8,19.4,2010,9
76,,Toledo,23.0,26.3,31.0,20.5,25.5,29.7,2010,9
77,,Illinois,22.7,27.3,43.0,28.0,17.3,22.3,2010,9
78,,Connecticut,22.5,21.3,0.0,42.5,12.5,29.4,2010,9
79,,Minnesota,22.4,20.3,21.0,23.3,21.3,21.3,2010,9
80,,Tulane,22.3,27.0,34.0,18.0,24.5,13.7,2010,9
81,,Rice,22.3,24.0,14.0,22.8,21.8,18.3,2010,9
82,,Middle Tenn,22.2,21.7,38.0,22.7,21.7,32.0,2010,9
83,,LA Lafayette,21.9,24.3,21.0,23.5,19.7,20.4,2010,9
84,,UAB,21.9,17.3,24.0,28.7,16.8,27.8,2010,9
85,,Central Mich,21.7,16.0,7.0,18.5,23.0,32.8,2010,9
86,,Virginia,21.4,26.3,48.0,24.0,17.5,19.8,2010,9
87,,Maryland,21.3,17.3,24.0,31.5,16.3,19.8,2010,9
88,,UCLA,21.3,20.7,13.0,24.3,19.0,22.0,2010,9
89,,E Michigan,20.9,22.7,21.0,19.3,21.8,16.4,2010,9
90,,Ball State,20.3,26.0,24.0,27.0,17.0,19.5,2010,9
91,,S Florida,20.3,17.7,38.0,21.3,19.3,22.3,2010,9
92,,Colorado,20.0,16.3,24.0,27.3,10.3,22.3,2010,9
93,,Wash State,20.0,19.3,28.0,15.3,23.5,12.0,2010,9
94,,Duke,19.7,12.0,7.0,15.7,23.7,23.7,2010,9
95,,Rutgers,19.5,23.7,21.0,18.0,21.0,26.2,2010,9
96,,Miami (OH),19.3,14.3,13.0,24.8,13.8,15.6,2010,9
97,,Syracuse,19.0,15.3,19.0,14.0,20.3,19.4,2010,9
98,,Vanderbilt,18.9,19.7,7.0,20.8,16.3,13.7,2010,9
99,,Kent State,18.8,26.3,30.0,28.0,17.0,19.4,2010,9
100,,UNLV,18.4,15.3,10.0,30.7,9.3,23.6,2010,9
101,,Kansas,18.3,8.0,10.0,21.8,11.5,27.6,2010,9
102,,Purdue,17.3,16.0,0.0,24.0,10.7,27.8,2010,9
103,,Marshall,17.1,13.3,10.0,19.7,15.3,21.0,2010,9
104,,Fla Atlantic,17.0,12.0,16.0,17.0,17.0,27.4,2010,9
105,,North Texas,16.9,18.7,10.0,21.8,10.3,26.6,2010,9
106,,Tennessee,16.7,12.7,10.0,18.0,14.0,29.3,2010,9
107,,Utah State,16.5,14.7,7.0,20.7,12.3,26.9,2010,9
108,,Colorado St,16.4,25.3,6.0,26.3,10.4,21.5,2010,9
109,,Penn State,16.3,16.3,33.0,19.7,13.0,26.9,2010,9
110,,Boston Col,16.0,19.0,21.0,15.0,18.0,22.3,2010,9
111,,BYU,16.0,17.3,25.0,21.3,10.8,35.5,2010,9
112,,LA Monroe,15.8,21.7,10.0,13.5,17.0,22.6,2010,9
113,,Memphis,13.9,8.7,19.0,16.7,11.8,20.1,2010,9
114,,New Mexico,13.6,18.0,20.0,17.8,8.0,16.3,2010,9
115,,Buffalo,13.2,14.0,0.0,5.0,17.3,22.6,2010,9
116,,N Mex State,12.4,13.3,14.0,12.3,12.5,10.7,2010,9
117,,Akron,12.0,12.3,10.0,9.0,14.3,17.3,2010,9
118,,Wyoming,10.4,8.7,20.0,8.7,11.8,17.4,2010,9
119,,San Jose St,8.5,10.3,18.0,9.0,8.3,13.3,2010,9
