,Rank,Team,2010,Last 3,Last 1,Home,Away,2009,Season,Week
84,,Utah State,30.6,27.0,24.0,28.5,32.0,34.0,2010,7
85,,Florida Intl,30.6,35.7,21.0,20.0,37.7,35.3,2010,7
86,,Washington,30.8,37.0,24.0,33.3,27.0,26.7,2010,7
87,,W Michigan,31.0,28.7,16.0,35.0,27.0,29.1,2010,7
88,,Tulane,31.0,32.3,41.0,34.0,28.0,37.1,2010,7
89,,Hawaii,31.2,26.3,27.0,35.0,28.7,30.3,2010,7
90,,Houston,31.3,33.7,47.0,31.3,31.0,31.8,2010,7
91,,Texas Tech,31.6,38.0,38.0,25.5,35.7,23.3,2010,7
92,,Kansas,31.8,34.0,55.0,20.5,43.0,30.7,2010,7
93,,Arkansas St,31.8,29.3,19.0,27.0,34.3,25.4,2010,7
94,,Buffalo,32.3,31.7,26.0,24.0,35.0,25.6,2010,7
95,,Ball State,32.8,35.7,45.0,45.0,28.7,28.6,2010,7
96,,Tulsa,32.8,31.0,21.0,20.0,36.0,29.5,2010,7
97,,Tennessee,33.0,28.7,41.0,36.0,28.5,22.2,2010,7
98,,Wyoming,33.0,26.7,45.0,35.5,31.3,27.8,2010,7
99,,UAB,33.4,35.7,42.0,32.5,34.0,32.3,2010,7
100,,LA Monroe,33.5,34.3,17.0,24.0,43.0,29.8,2010,7
101,,Rice,35.2,38.7,44.0,34.0,36.3,43.1,2010,7
102,,UNLV,35.3,34.3,49.0,31.7,39.0,35.1,2010,7
103,,Marshall,35.4,36.0,41.0,23.5,43.3,24.0,2010,7
104,,Fresno St,35.5,42.7,49.0,31.5,39.5,30.8,2010,7
105,,Iowa State,35.6,44.3,68.0,38.7,31.0,22.3,2010,7
106,,Colorado St,36.0,36.7,49.0,30.5,38.8,30.5,2010,7
107,,Akron,37.8,37.7,28.0,39.5,36.7,31.4,2010,7
108,,LA Lafayette,38.8,38.3,54.0,37.3,41.0,31.4,2010,7
109,,Bowling Grn,38.8,47.3,49.0,28.0,44.3,27.5,2010,7
110,,Memphis,39.2,40.0,56.0,32.5,42.5,36.7,2010,7
111,,N Mex State,39.6,38.3,14.0,38.0,42.0,32.8,2010,7
112,,Wake Forest,39.8,27.7,28.0,33.3,49.5,28.0,2010,7
113,,W Kentucky,40.4,30.0,28.0,38.0,41.0,40.6,2010,7
114,,San Jose St,41.5,39.3,35.0,--,41.5,36.8,2010,7
115,,E Carolina,42.0,44.7,43.0,38.0,44.7,21.8,2010,7
116,,Duke,43.0,39.3,21.0,48.5,37.5,30.2,2010,7
117,,E Michigan,44.3,51.7,52.0,37.7,51.0,38.3,2010,7
118,,New Mexico,46.5,33.0,16.0,48.7,44.3,35.9,2010,7
119,,Wash State,47.0,45.0,43.0,46.5,47.3,38.5,2010,7
